,puma,wagp,agep,sex,serialno,pwgtp,st
256,00106,0058000,50,1,1142529,00071,06
257,00106,0036000,49,2,1142529,00075,06
258,00106,0120000,55,1,1144085,00113,06
259,00106,0013500,21,2,1144085,00139,06
260,00106,0000000,54,2,1144085,00096,06
261,00106,0022000,34,2,1145427,00134,06
262,00106,0100000,38,1,1145427,00117,06
263,00106,0012000,20,2,1145491,00077,06
264,00106,0000000,49,2,1145491,00059,06
265,00106,0070000,54,1,1145491,00060,06
266,00106,,12,2,1145491,00066,06
267,00106,,12,1,1145491,00062,06
268,00106,0000000,64,1,1146619,00037,06
269,00106,0081000,50,2,1148717,00083,06
270,00106,0000000,34,2,1148717,00084,06
271,00106,0205000,39,1,1148843,00208,06
272,00106,0092000,39,2,1148843,00224,06
273,00106,0000000,45,2,1148912,00071,06
274,00106,,01,2,1148912,00067,06
275,00106,0000000,54,2,1149444,00155,06
276,00106,0030000,49,2,1149444,00167,06
277,00106,0010000,34,2,1149444,00145,06
278,00106,,06,2,1149444,00211,06
279,00106,0000000,15,2,1150728,00112,06
280,00106,0015000,28,2,1150728,00167,06
281,00106,0037000,39,2,1150728,00140,06
282,00106,0120000,50,1,1151050,00085,06
283,00106,0100000,56,2,1151050,00071,06
284,00106,0005000,44,2,1152307,00149,06
285,00106,0040000,49,1,1152307,00140,06
286,00106,,12,2,1152307,00178,06
287,00106,,14,2,1152307,00176,06
288,00106,0052000,56,1,1153276,00070,06
289,00106,0035000,50,2,1153276,00061,06
290,00106,0000000,15,1,1153632,00177,06
291,00106,0000000,17,2,1153632,00155,06
292,00106,0008700,44,2,1153632,00187,06
293,00106,0021000,43,1,1154483,00121,06
294,00106,0041000,32,1,1157126,00075,06
295,00106,0038000,32,2,1157126,00072,06
296,00106,,04,1,1158986,00191,06
297,00106,0060000,30,2,1158986,00205,06
298,00106,0039000,31,1,1158986,00327,06
299,00106,0026000,51,1,1160007,00062,06
300,00106,0000000,72,2,1160007,00080,06
301,00106,0000000,68,1,1160725,00052,06
302,00106,0000000,24,2,1160725,00064,06
303,00106,0006300,27,1,1160725,00098,06
304,00106,0002000,31,2,1160725,00093,06
305,00106,0030000,58,2,1160725,00049,06
306,00106,0000000,77,2,1164129,00012,06
307,00106,,03,1,1164654,00367,06
308,00106,0053000,50,1,1164654,00354,06
309,00106,0046000,58,2,1164654,00279,06
310,00106,0003200,25,2,1164654,00630,06
311,00106,,06,2,1171194,00157,06
312,00106,,12,1,1171194,00140,06
313,00106,,08,1,1171194,00142,06
314,00106,0026000,39,1,1171194,00121,06
315,00106,0000000,38,2,1171194,00121,06
316,00106,0000150,16,2,1171359,00084,06
317,00106,,08,2,1171359,00126,06
318,00106,0056000,44,2,1171359,00102,06
319,00106,,13,1,1171359,00117,06
320,00106,0000000,94,1,1175939,00098,06
321,00106,0000000,16,1,1177668,00085,06
322,00106,0367000,48,1,1177668,00063,06
323,00106,0076000,44,2,1177668,00099,06
324,00106,,14,2,1177668,00090,06
325,00106,,02,2,1177912,00167,06
326,00106,0025000,34,1,1177912,00263,06
327,00106,0009600,32,2,1177912,00212,06
328,00106,0026000,32,1,1178189,00412,06
329,00106,0036000,42,2,1178189,00344,06
330,00106,0052000,21,2,1178189,00462,06
331,00106,0043000,55,2,1183113,00059,06
332,00106,0000000,84,2,1183590,00051,06
333,00106,0000000,85,1,1183590,00054,06
334,00106,0084000,51,1,1185774,00055,06
335,00106,0000000,86,2,1186377,00014,06
336,00106,0070000,30,1,1187667,00093,06
337,00106,0055000,29,2,1187667,00064,06
338,00106,0030000,32,1,1187749,00448,06
339,00106,0030000,30,1,1187749,00332,06
340,00106,0010500,40,2,118846,00138,06
341,00106,0000000,18,1,118846,00114,06
342,00106,,13,2,118846,00184,06
343,00106,,11,2,118846,00187,06
344,00106,0000000,73,2,1192274,00056,06
345,00106,0000000,73,1,1192274,00052,06
346,00106,0000000,74,2,1192679,00036,06
347,00106,,03,1,1192743,00291,06
348,00106,,07,2,1192743,00353,06
349,00106,0000000,28,2,1192743,00269,06
350,00106,0022000,32,1,1192743,00361,06
351,00106,0103000,60,2,1194778,00066,06
352,00106,0049000,26,1,1197699,00266,06
353,00106,0055000,27,2,1197699,00207,06
354,00106,,04,2,1197699,00198,06
355,00106,0000000,29,1,1201051,00045,06
356,00106,0000000,29,2,1201051,00067,06
357,00106,0033000,30,1,1201051,00124,06
358,00106,0010800,32,1,1201051,00099,06
359,00106,0000000,69,2,1202275,00055,06
360,00106,0000000,72,1,1203278,00049,06
361,00106,0000000,70,2,1203278,00060,06
362,00106,0000000,60,2,1203987,00137,06
363,00106,,12,2,1204706,00057,06
364,00106,0030000,48,1,1204706,00076,06
365,00106,0070000,37,2,1204706,00040,06
366,00106,0010400,20,1,1204706,00065,06
367,00106,0025000,27,1,1206403,00182,06
368,00106,,11,2,1206403,00227,06
369,00106,,04,1,1206403,00188,06
370,00106,0035000,59,2,1206403,00270,06
371,00106,0032500,31,2,1206403,00204,06
372,00106,0078000,43,2,1206723,00103,06
373,00106,0000000,17,1,1206723,00103,06
374,00106,0040000,39,1,1206723,00108,06
375,00106,0000000,18,2,1206723,00110,06
376,00106,0000000,85,1,1206865,00056,06
377,00106,0000000,78,1,1206881,00008,06
378,00106,0000000,17,1,1206950,00006,06
379,00106,0001600,26,1,1208189,00134,06
380,00106,0008700,46,2,1208189,00088,06
381,00106,0000000,18,2,1208189,00063,06
382,00106,,13,1,1208189,00092,06
383,00106,0004500,47,2,1208189,00117,06
384,00106,,09,2,1209785,00186,06
385,00106,0027000,20,1,1209785,00203,06
386,00106,0012000,21,2,1209785,00145,06
387,00106,0004100,48,2,1210918,00043,06
388,00106,0157000,49,1,1210918,00040,06
389,00106,0000000,73,2,1210943,00142,06
390,00106,0000000,49,1,1214317,00087,06
391,00106,0150000,58,1,1215050,00077,06
392,00106,0000000,21,2,1215050,00128,06
393,00106,0120000,56,2,1215050,00075,06
394,00106,0019000,28,2,1217697,00022,06
395,00106,0002500,42,1,1217697,00053,06
396,00106,,00,1,1217697,00058,06
397,00106,0076000,48,2,1219007,00062,06
398,00106,0100000,64,1,1220046,00063,06
399,00106,0003300,22,1,1220242,00068,06
400,00106,0090000,58,1,1220242,00083,06
401,00106,0000000,40,2,1222958,00172,06
402,00106,0097000,61,1,1222958,00106,06
403,00106,,03,2,1222958,00099,06
404,00106,0087000,30,2,1223124,00053,06
405,00106,0000000,38,1,1223124,00048,06
406,00106,0000000,80,1,1223369,00058,06
407,00106,0000000,79,2,1223369,00054,06
408,00106,0028000,51,1,1223369,00131,06
409,00106,0000000,65,2,1225709,00252,06
410,00106,0030000,36,1,1225709,00186,06
411,00106,0006000,50,1,122655,00118,06
412,00106,0025000,41,2,122655,00125,06
413,00106,0026000,39,2,1228648,00070,06
414,00106,0092000,38,1,1228648,00066,06
415,00106,,04,2,1228648,00088,06
416,00106,0037000,59,2,1228652,00055,06
417,00106,0034000,29,1,1228652,00115,06
418,00106,0000000,28,2,1228652,00085,06
419,00106,0000000,26,2,1228652,00087,06
420,00106,0000000,15,1,1230327,00026,06
421,00106,0000000,50,2,1234553,00178,06
422,00106,0000000,18,2,1234553,00119,06
423,00106,0067000,51,1,1234553,00134,06
424,00106,0021000,20,2,1234553,00165,06
425,00106,0105000,35,1,1235120,00074,06
426,00106,0036000,31,2,1235120,00087,06
427,00106,0022000,56,2,1237062,00119,06
428,00106,0033000,27,2,1237062,00103,06
429,00106,0000000,66,1,1237062,00128,06
430,00106,0035000,29,1,1237062,00185,06
431,00106,,03,1,1239101,00054,06
432,00106,0014000,30,2,1239101,00046,06
433,00106,0060000,45,1,1239101,00059,06
434,00106,,00,2,1239101,00047,06
435,00106,0009000,65,2,1239423,00093,06
436,00106,0026400,64,2,1239423,00094,06
437,00106,0015000,24,1,1239854,00067,06
438,00106,0030000,53,2,1239854,00054,06
439,00106,0003000,19,1,1240212,00261,06
440,00106,0001200,38,2,1240212,00110,06
441,00106,0000000,61,2,1240335,00088,06
442,00106,0050000,59,1,1240335,00088,06
443,00106,0030000,60,2,1242478,00134,06
444,00106,0000000,64,1,1242478,00137,06
445,00106,0215000,59,1,1242735,00064,06
446,00106,0000000,63,2,1242735,00061,06
447,00106,0004100,31,2,1242992,00302,06
448,00106,0000000,64,1,1242992,00323,06
449,00106,0036000,60,2,1242992,00316,06
450,00106,0000000,83,2,1242992,00373,06
451,00106,0000000,38,2,1243350,00149,06
452,00106,,01,2,1243350,00169,06
453,00106,,09,1,1243350,00178,06
454,00106,0020000,37,1,1243350,00184,06
455,00106,0053000,54,1,124343,00107,06
456,00106,0003000,52,1,1243957,00054,06
457,00106,0005000,20,1,1244320,00202,06
458,00106,0000000,64,1,1244320,00254,06
459,00106,0000000,58,2,1244320,00146,06
460,00106,0028600,29,1,1244320,00294,06
461,00106,0028000,24,1,1244320,00202,06
462,00106,0055000,41,1,1245080,00110,06
463,00106,0016000,57,1,1245398,00100,06
464,00106,0000000,48,2,1248268,00048,06
465,00106,0000000,57,1,1248268,00046,06
466,00106,0000000,20,1,1248268,00057,06
467,00106,0014100,24,1,1248268,00057,06
468,00106,0000000,41,1,1248841,00056,06
469,00106,0045000,47,2,1248841,00060,06
470,00106,0000000,17,1,1248841,00053,06
471,00106,,12,2,1248841,00068,06
472,00106,0060000,27,2,1250797,00112,06
473,00106,0060000,31,1,1250797,00108,06
474,00106,,00,1,1250797,00195,06
475,00106,,04,2,1250797,00184,06
476,00106,0000000,60,2,1251570,00057,06
477,00106,0000000,69,1,1251570,00058,06
478,00106,0000000,64,1,1252851,00044,06
479,00106,0000000,70,2,1252851,00060,06
480,00106,0085000,59,1,1259034,00068,06
481,00106,0000000,78,2,1259229,00046,06
482,00106,0070000,33,1,1259229,00174,06
483,00106,0000000,21,1,125993,00193,06
