,veh,puma,np,serialno,fincp,wgtp
698,,00106,01,5379,,00000
699,1,00106,01,538135,,00050
700,,00106,01,540320,,00000
701,3,00106,06,542598,000137000,00181
702,,00106,00,544496,,00188
703,1,00106,01,546550,,00105
704,1,00106,01,54696,,00042
705,2,00106,02,547874,,00233
706,1,00106,01,548470,,00104
707,1,00106,01,552014,,00113
708,1,00106,01,555585,,00077
709,1,00106,01,556393,,00062
710,2,00106,02,55793,000734000,00051
711,4,00106,07,558711,000082000,00071
712,2,00106,02,559648,000031200,00182
713,1,00106,02,559971,000090800,00064
714,2,00106,03,562813,000235800,00092
715,3,00106,03,563334,000180000,00103
716,1,00106,03,563848,000070000,00114
717,2,00106,03,564004,000150000,00108
718,,00106,01,564549,,00000
719,2,00106,06,566864,000107000,00087
720,2,00106,04,567211,000130600,00070
721,2,00106,02,567765,,00078
722,2,00106,02,571408,000100000,00195
723,0,00106,02,57202,000040400,00103
724,1,00106,05,57453,000024000,00174
725,1,00106,01,57461,,00044
726,2,00106,03,575980,000073800,00196
727,1,00106,01,576038,,00066
728,2,00106,03,576471,000108220,00039
729,1,00106,01,577570,,00060
730,2,00106,05,579671,000065000,00090
731,1,00106,02,580079,000060000,00217
732,1,00106,02,581613,000055000,00118
733,2,00106,01,582406,,00114
734,2,00106,04,583645,000048000,00094
735,2,00106,04,584103,000102300,00075
736,3,00106,03,584345,000067500,00112
737,3,00106,03,585074,000023000,00068
738,1,00106,01,585375,,00067
739,2,00106,04,585406,000061100,00183
740,1,00106,02,586384,000055640,00361
741,1,00106,02,587372,000061600,00073
742,2,00106,02,587412,000039000,00068
743,2,00106,03,592166,000031200,00065
744,5,00106,03,593055,000081000,00113
745,2,00106,04,593356,000042000,00228
746,3,00106,04,594993,000171000,00067
747,2,00106,01,595818,,00082
748,1,00106,03,596669,000120400,00090
749,2,00106,03,598458,,00033
750,2,00106,04,599894,000015600,00057
751,2,00106,04,600610,000021700,00064
752,3,00106,03,600931,000000000,00116
753,1,00106,02,601369,,00091
754,1,00106,01,607004,,00049
755,4,00106,03,60970,000043000,00063
756,2,00106,03,612284,000145000,00074
757,3,00106,03,613826,000187950,00097
758,2,00106,02,614926,000048600,00064
759,3,00106,04,616239,000030200,00116
760,2,00106,01,617726,,00144
761,1,00106,02,619691,000048000,00086
762,1,00106,01,620128,,00115
763,,00106,01,620434,,00000
764,2,00106,01,62062,,00064
765,5,00106,04,623627,000074000,00039
766,1,00106,01,624040,,00067
767,3,00106,02,624861,000016900,00080
768,2,00106,02,625691,000122100,00106
769,,00106,01,625939,,00000
770,1,00106,01,629216,,00051
771,2,00106,03,632135,000483550,00042
772,2,00106,02,634746,000037000,00156
